DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2013-12-11                19:56:31.441              344.49758613              8267.942067               345.49758613              1386791791.442            0                         963                       1.0000000000E+000         0.0000000000E+000         2.1706259883E+000         2.6883324633E+000         4.4969738943E+002         4.6270706602E+002         1.8152856825E+000         2.2262612822E+000         
2013-12-11                19:56:33.069              344.49760497              8267.942519               345.49760497              1386791793.069            0                         963                       3.0000000000E+000         0.0000000000E+000         2.1706259883E+000         2.2218125804E+000         4.4969738943E+002         4.6266528622E+002         1.8137550954E+000         2.2244789563E+000         
2013-12-11                19:56:34.634              344.49762308              8267.942954               345.49762308              1386791794.634            0                         963                       2.0000000000E+000         0.0000000000E+000         2.0416622117E+000         2.2218125804E+000         4.4969738943E+002         4.6266528622E+002         1.8137550954E+000         2.2244789563E+000         
2013-12-11                19:56:35.553              344.49763373              8267.943209               345.49763373              1386791795.554            0                         963                       1.0000000000E+000         0.0000000000E+000         2.0416622117E+000         2.2218125804E+000         4.5009655744E+002         4.6266528622E+002         1.8137550954E+000         2.2244789563E+000         
2013-12-11                19:56:37.188              344.49765265              8267.943664               345.49765265              1386791797.189            0                         963                       3.0000000000E+000         0.0000000000E+000         2.0416622117E+000         2.0898390974E+000         4.5009655744E+002         4.6308445349E+002         1.8176057828E+000         2.2289626992E+000         
2013-12-11                19:56:38.769              344.49767094              8267.944103               345.49767094              1386791798.769            0                         963                       2.0000000000E+000         0.0000000000E+000         2.0408166550E+000         2.0898390974E+000         4.5009655744E+002         4.6308445349E+002         1.8176057828E+000         2.2289626992E+000         
2013-12-11                19:56:39.700              344.49768172              8267.944361               345.49768172              1386791799.701            0                         963                       1.0000000000E+000         0.0000000000E+000         2.0408166550E+000         2.0898390974E+000         4.5012434750E+002         4.6308445349E+002         1.8176057828E+000         2.2289626992E+000         
2013-12-11                19:56:40.328              344.49768899              8267.944536               345.49768899              1386791800.329            0                         963                       3.0000000000E+000         0.0000000000E+000         2.0408166550E+000         2.0889990784E+000         4.5012434750E+002         4.6311992831E+002         1.8156358978E+000         2.2266690778E+000         
2013-12-11                19:56:41.862              344.49770675              8267.944962               345.49770675              1386791801.863            0                         963                       2.0000000000E+000         0.0000000000E+000         2.0407469788E+000         2.0889990784E+000         4.5012434750E+002         4.6311992831E+002         1.8156358978E+000         2.2266690778E+000         
2013-12-11                19:56:42.789              344.49771748              8267.945219               345.49771748              1386791802.790            0                         963                       1.0000000000E+000         0.0000000000E+000         2.0407469788E+000         2.0889990784E+000         4.4942973908E+002         4.6311992831E+002         1.8156358978E+000         2.2266690778E+000         
2013-12-11                19:56:43.302              344.49772340              8267.945362               345.49772340              1386791803.302            0                         963                       3.0000000000E+000         0.0000000000E+000         2.0407469788E+000         2.0888152653E+000         4.4942973908E+002         4.6237493665E+002         1.8093047581E+000         2.2192958435E+000         
