solenoid_valves,dwp_core,treatment,rep,notes
#,,,,
# 1st CH4 injection,,,,
# rep1 start 30Dec2013@ 8:22 am, inject first core 30Dec2013@ 10:22 am, end @9:07 am 2Jan2014",,,,
# difference in time reported in data file is +8h 49m ,,,,
1,,Injection 1,Rep 1,ambient in empty core
2,13,Injection 1,Rep 1,
3,16,Injection 1,Rep 1,
4,2,Injection 1,Rep 1,
5,11,Injection 1,Rep 1,
6,14,Injection 1,Rep 1,
7,17,Injection 1,Rep 1,
8,,Injection 1,Rep 1,CH4 in empty core
9,43,Injection 1,Rep 1,
10,3,Injection 1,Rep 1,
11,44,Injection 1,Rep 1,
12,12,Injection 1,Rep 1,
13,42,Injection 1,Rep 1,
14,1,Injection 1,Rep 1,
15,18,Injection 1,Rep 1,
16,15,Injection 1,Rep 1,
#,,,,
# rep2 start @ 9:37 am,,,,
1,,Injection 1,Rep 2,ambient in empty core
2,4,Injection 1,Rep 2,
3,25,Injection 1,Rep 2,
4,45,Injection 1,Rep 2,
5,20,Injection 1,Rep 2,
6,5,Injection 1,Rep 2,
7,19,Injection 1,Rep 2,
8,,Injection 1,Rep 2,CH4 in empty core
9,6,Injection 1,Rep 2,
10,23,Injection 1,Rep 2,
11,22,Injection 1,Rep 2,
12,46,Injection 1,Rep 2,
13,,Injection 1,Rep 2,ambient in empty core
14,21,Injection 1,Rep 2,
15,24,Injection 1,Rep 2,
16,47,Injection 1,Rep 2,
#,,,,
# rep3 start @ 10:15am,,,,
1,,Injection 1,Rep 3,ambient in empty core
2,48,Injection 1,Rep 3,
3,,Injection 1,Rep 3,ambient in empty core
4,29,Injection 1,Rep 3,
5,7,Injection 1,Rep 3,
6,28,Injection 1,Rep 3,
7,33,Injection 1,Rep 3,
8,,Injection 1,Rep 3,CH4 in empty core
9,26,Injection 1,Rep 3,
10,49,Injection 1,Rep 3,
11,8,Injection 1,Rep 3,
12,30,Injection 1,Rep 3,
13,27,Injection 1,Rep 3,
14,31,Injection 1,Rep 3,
15,50,Injection 1,Rep 3,
16,32,Injection 1,Rep 3,
#,,,,
# rep4 start @ 10:30am,,,,
1,,Injection 1,Rep 4,ambient in empty core
2,40,Injection 1,Rep 4,
3,,Injection 1,Rep 4,ambient in empty core
4,38,Injection 1,Rep 4,
5,51,Injection 1,Rep 4,
6,39,Injection 1,Rep 4,
7,53,Injection 1,Rep 4,
8,,Injection 1,Rep 4,CH4 in empty core
9,41,Injection 1,Rep 4,
10,34,Injection 1,Rep 4,
11,9,Injection 1,Rep 4,
12,35,Injection 1,Rep 4,
13,52,Injection 1,Rep 4,
14,10,Injection 1,Rep 4,
15,37,Injection 1,Rep 4,
16,36,Injection 1,Rep 4,
#,,,,
# 2nd CH4 injection,,,,
# rep1,,,,
# start @ 10:45 am,,,,
1,3,Injection 2,Rep 1,
2,11,Injection 2,Rep 1,
3,17,Injection 2,Rep 1,
4,16,Injection 2,Rep 1,
5,1,Injection 2,Rep 1,
6,2,Injection 2,Rep 1,
7,14,Injection 2,Rep 1,
8,13,Injection 2,Rep 1,
9,,Injection 2,Rep 1,CH4 in empty core
10,44,Injection 2,Rep 1,
11,12,Injection 2,Rep 1,
12,18,Injection 2,Rep 1,
13,42,Injection 2,Rep 1,
14,43,Injection 2,Rep 1,
15,,Injection 2,Rep 1,ambient in empty core
16,15,Injection 2,Rep 1,
#,,,,
# rep2,,,,
# start @10:30,,,,
1,5,Injection 2,Rep 2,
2,20,Injection 2,Rep 2,
3,22,Injection 2,Rep 2,
4,46,Injection 2,Rep 2,
5,,Injection 2,Rep 2,ambient in empty core
6,21,Injection 2,Rep 2,
7,45,Injection 2,Rep 2,
8,4,Injection 2,Rep 2,
9,,Injection 2,Rep 2,CH4 in empty core
10,47,Injection 2,Rep 2,
11,25,Injection 2,Rep 2,
12,,Injection 2,Rep 2,ambient in empty core
13,24,Injection 2,Rep 2,
14,6,Injection 2,Rep 2,
15,19,Injection 2,Rep 2,
16,23,Injection 2,Rep 2,
#,,,,
# rep3 start @ 10:30am,,,,
1,28,Injection 2,Rep 3,
2,33,Injection 2,Rep 3,
3,8,Injection 2,Rep 3,
4,27,Injection 2,Rep 3,
5,,Injection 2,Rep 3,CH4 in empty core
6,48,Injection 2,Rep 3,
7,29,Injection 2,Rep 3,
8,31,Injection 2,Rep 3,
9,26,Injection 2,Rep 3,
10,7,Injection 2,Rep 3,
11,49,Injection 2,Rep 3,
12,,Injection 2,Rep 3,ambient in empty core
13,50,Injection 2,Rep 3,
14,30,Injection 2,Rep 3,
15,,Injection 2,Rep 3,ambient in empty core
16,32,Injection 2,Rep 3,
#,,,,
# rep 4 start @ 1:05 pm,,,,
1,30,Injection 2,Rep 4,
2,50,Injection 2,Rep 4,
3,40,Injection 2,Rep 4,
4,26,Injection 2,Rep 4,
5,31,Injection 2,Rep 4,
6,48,Injection 2,Rep 4,
7,32,Injection 2,Rep 4,
8,28,Injection 2,Rep 4,
9,7,Injection 2,Rep 4,
10,8,Injection 2,Rep 4,
11,,Injection 2,Rep 4,ambient in empty core
12,,Injection 2,Rep 4,CH4 in empty core
13,33,Injection 2,Rep 4,
14,29,Injection 2,Rep 4,
15,27,Injection 2,Rep 4,
16,,Injection 2,Rep 4,CH4 in empty core
